cohort,threshold,nb_model,nb_apsiii,nb_all,nb_none
primary,0.78,-0.0011614954083573334,0.0,-1.6300059772863127,0.0
primary,0.79,-0.0006048444482395473,0.0,-1.7552443571570897,0.0
primary,0.8,-0.0008965929468021522,0.0,-1.893006575014944,0.0
primary,0.81,-0.000939849624060151,0.0,-2.045270078963099,0.0
primary,0.82,-0.0005396161253901843,0.0,-2.2144517500166048,0.0
primary,0.83,-0.000861432439084421,0.0,-2.4035371470764053,0.0
primary,0.84,-0.0007284817692767493,0.0,-2.6162582187686816,0.0
primary,0.85,-0.00012452679816696548,0.0,-2.8573421000199244,0.0
primary,0.86,-0.00023482196225770634,0.0,-3.132866535735633,0.0
primary,0.87,7.471607890017931e-05,0.0,-3.450779346176836,0.0
primary,0.88,0.0,0.0,-3.8216776250249063,0.0
primary,0.89,0.0,0.0,-4.260011954572626,0.0
primary,0.9,0.0,0.0,-4.786013150029889,0.0
primary,0.91,0.0,0.0,-5.42890350003321,0.0
primary,0.92,0.0,0.0,-6.232516437537363,0.0
primary,0.93,0.0,0.0,-7.265733071471273,0.0
primary,0.94,0.0,0.0,-8.64335525004982,0.0
primary,0.95,0.0,0.0,-10.57202630005979,0.0
primary,0.96,0.0,0.0,-13.465032875074744,0.0
primary,0.97,0.0,0.0,-18.28671050009961,0.0
primary,0.98,0.0,0.0,-27.93006575014941,0.0
primary,0.99,0.0,0.0,-56.86013150029883,0.0
